2026-05-10 21:18:13 | 36 B0 F3 22 | GRANTED
2026-05-10 21:23:46 | 36 B0 F3 22 | GRANTED
2026-05-10 21:29:46 | 36 B0 F3 22 | GRANTED
2026-05-10 21:30:14 | 5A 42 13 07 | GRANTED
2026-05-10 21:30:41 | 3E B3 2A 07 | DENIED
2026-05-10 21:31:42 | 5A 42 13 07 | GRANTED
2026-05-10 21:32:24 | 36 B0 F3 22 | GRANTED
2026-05-10 21:34:17 | 3E B3 2A 07 | DENIED
2026-05-10 21:35:13 | 36 B0 F3 22 | GRANTED
2026-05-10 21:36:48 | 36 B0 F3 22 | GRANTED
2026-05-10 21:37:44 | 3E B3 2A 07 | DENIED
2026-05-10 21:45:31 | 36 B0 F3 22 | GRANTED
